Case,Defalt Sorting 10000,Bubble Sorting 10000,Merge Sorting 10000
1,1,615,223
2,0,589,37
3,0,591,53
4,0,609,46
5,0,595,36
6,0,606,56
7,0,661,43
8,0,584,45
9,0,588,50
10,0,612,59
11,0,569,48
12,0,591,52
13,0,592,41
14,0,611,68
15,0,592,61
16,0,608,44
17,0,628,48
18,0,585,42
19,0,591,44
20,0,629,50
21,1,581,133
22,0,598,39
23,0,577,38
24,0,597,36
25,0,597,73
26,0,602,93
27,0,649,81
28,0,637,58
29,1,616,90
30,0,622,44
31,0,585,61
32,0,606,98
33,0,605,51
34,0,668,70
35,0,614,100
36,0,614,59
37,0,618,77
38,0,608,43
39,0,662,72
40,0,610,60
41,0,624,73
42,0,616,95
43,0,613,76
44,0,609,118
45,0,853,81
46,0,695,55
47,0,633,45
48,0,701,33
49,0,617,30
50,0,638,30
51,0,613,34
52,0,623,37
53,0,633,77
54,0,675,38
55,0,622,34
56,0,715,35
57,0,831,45
58,0,899,71
59,0,1012,36
60,0,1148,37
61,0,758,59
62,0,716,38
63,0,967,32
64,0,622,36
65,0,643,33
66,0,619,33
67,0,639,57
68,0,639,35
69,0,649,34
70,0,699,31
71,0,622,35
72,0,664,34
73,0,614,58
74,0,654,38
75,0,627,37
76,1,625,33
77,0,756,47
78,0,673,53
79,0,630,45
80,0,663,39
81,0,655,57
82,0,657,53
83,0,619,38
84,0,624,33
85,0,615,31
86,0,623,35
87,0,611,46
88,0,620,43
89,0,625,37
90,0,652,41
91,1,624,36
92,0,624,41
93,0,621,44
94,1,623,53
95,0,636,29
96,0,643,27
97,0,616,27
98,0,624,32
99,0,655,44
100,0,618,31
